13:48:39.664;Open_Page Execution_Time(ms):; 1789; Page_URL:; http://localhost:8081/#!/login;
13:48:39.714;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
13:48:39.744;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:48:39.784;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:48:39.809;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:48:39.868;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
13:48:39.872;Send_Keys Execution_Time(ms):; 194; Page_URL:; http://localhost:8081/#!/login;
13:48:39.882;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
13:48:39.898;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
13:48:39.942;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:48:39.966;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:48:40.019;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
13:48:40.023;Send_Keys Execution_Time(ms):; 146; Page_URL:; http://localhost:8081/#!/login;
13:48:40.032;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
13:48:40.048;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
13:48:40.099;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:48:40.119;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 77; Page_URL:; http://localhost:8081/#!/login;
13:48:40.139;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:48:40.281;Wait_For_Page_Update Execution_Time(ms):; 84; Page_URL:; http://localhost:8081/#!/dashboard;
13:48:40.285;Click Execution_Time(ms):; 258; Page_URL:; http://localhost:8081/#!/dashboard;
13:48:40.771;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:48:40.801;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
