18:18:14.689;Open_Page Execution_Time(ms):; 1901; Page_URL:; http://localhost:8081/#!/login;
18:18:14.739;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
18:18:14.772;Find_Element Execution_Time(ms):; 23; Page_URL:; http://localhost:8081/#!/login;
18:18:14.812;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:18:14.837;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
18:18:14.887;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
18:18:14.891;Send_Keys Execution_Time(ms):; 178; Page_URL:; http://localhost:8081/#!/login;
18:18:14.902;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
18:18:14.946;Find_Element Execution_Time(ms):; 33; Page_URL:; http://localhost:8081/#!/login;
18:18:14.986;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:18:15.011;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
18:18:15.052;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
18:18:15.056;Send_Keys Execution_Time(ms):; 160; Page_URL:; http://localhost:8081/#!/login;
18:18:15.065;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
18:18:15.080;Find_Element Execution_Time(ms):; 11; Page_URL:; http://localhost:8081/#!/login;
18:18:15.127;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:18:15.147;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 72; Page_URL:; http://localhost:8081/#!/login;
18:18:15.167;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:18:15.315;Wait_For_Page_Update Execution_Time(ms):; 89; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:15.322;Click Execution_Time(ms):; 259; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:15.826;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:15.856;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:16.382;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:16.933;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:17.479;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:18.022;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:18.543;Find_Element Execution_Time(ms):; 28; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:19.096;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:19.645;Find_Element Execution_Time(ms):; 32; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:20.185;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:20.743;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:21.300;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:18:21.831;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
