20:32:25.522;Open_Page Execution_Time(ms):; 1583; Page_URL:; http://localhost:8081/#!/login;
20:32:25.582;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
20:32:25.612;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
20:32:25.652;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:32:25.677;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
20:32:25.732;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
20:32:25.737;Send_Keys Execution_Time(ms):; 190; Page_URL:; http://localhost:8081/#!/login;
20:32:25.746;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
20:32:25.783;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
20:32:25.823;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:32:25.850;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
20:32:25.895;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
20:32:25.899;Send_Keys Execution_Time(ms):; 158; Page_URL:; http://localhost:8081/#!/login;
20:32:25.909;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
20:32:25.925;Find_Element Execution_Time(ms):; 11; Page_URL:; http://localhost:8081/#!/login;
20:32:25.970;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:32:25.990;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 71; Page_URL:; http://localhost:8081/#!/login;
20:32:26.010;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:32:26.156;Wait_For_Page_Update Execution_Time(ms):; 89; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:26.161;Click Execution_Time(ms):; 257; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:26.665;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:26.695;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:27.235;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:27.785;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:28.337;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:28.884;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:29.423;Find_Element Execution_Time(ms):; 36; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:29.976;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:30.515;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:31.067;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:31.561;Find_Element Execution_Time(ms):; 9; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:32.085;Find_Element Execution_Time(ms):; 16; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:32.621;Find_Element Execution_Time(ms):; 25; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:33.196;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:33.753;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:33.803;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:33.823;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7138; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.215;Click Execution_Time(ms):; 7570; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.655;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.685;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.735;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.788;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.795;Click Execution_Time(ms):; 134; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.821;Find_Element Execution_Time(ms):; 22; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.833;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.876;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 22; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.917;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.921;Click Execution_Time(ms):; 95; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.939;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.946;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:34.996;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 39; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.038;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.042;Click Execution_Time(ms):; 99; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.052;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.102;Find_Element Execution_Time(ms):; 29; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.123;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.193;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 60; Page_URL:; http://localhost:8081/#!/dashboard;
20:32:35.245;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
