13:49:48.025;Open_Page Execution_Time(ms):; 1831; Page_URL:; http://localhost:8081/#!/login;
13:49:48.075;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:49:48.105;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:49:48.145;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:49:48.170;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:49:48.226;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
13:49:48.230;Send_Keys Execution_Time(ms):; 181; Page_URL:; http://localhost:8081/#!/login;
13:49:48.240;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
13:49:48.281;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
13:49:48.321;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:49:48.345;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:49:48.388;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
13:49:48.392;Send_Keys Execution_Time(ms):; 157; Page_URL:; http://localhost:8081/#!/login;
13:49:48.400;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
13:49:48.416;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
13:49:48.458;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:49:48.469;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 68; Page_URL:; http://localhost:8081/#!/login;
13:49:48.499;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:49:48.639;Wait_For_Page_Update Execution_Time(ms):; 53; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:48.643;Click Execution_Time(ms):; 247; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:49.142;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:49.172;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:49.731;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:50.274;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:50.814;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:49:51.355;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
