12:17:18.699;Open_Page Execution_Time(ms):; 1921; Page_URL:; http://localhost:8081/#!/login;
12:17:18.749;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
12:17:18.779;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
12:17:18.819;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:17:18.845;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
12:17:18.895;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
12:17:18.900;Send_Keys Execution_Time(ms):; 176; Page_URL:; http://localhost:8081/#!/login;
12:17:18.910;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
12:17:18.946;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
12:17:18.986;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:17:19.011;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
12:17:19.054;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
12:17:19.058;Send_Keys Execution_Time(ms):; 155; Page_URL:; http://localhost:8081/#!/login;
12:17:19.070;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
12:17:19.089;Find_Element Execution_Time(ms):; 14; Page_URL:; http://localhost:8081/#!/login;
12:17:19.133;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:17:19.153;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 73; Page_URL:; http://localhost:8081/#!/login;
12:17:19.158;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
12:17:19.305;Wait_For_Page_Update Execution_Time(ms):; 88; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:19.314;Click Execution_Time(ms):; 248; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:19.816;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:19.846;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:20.387;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:20.933;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:21.485;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:22.026;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:22.568;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:23.118;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:23.666;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:24.226;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:24.775;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:25.326;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:25.879;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:26.400;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:26.957;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:26.987;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:26.997;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7171; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:27.351;Click Execution_Time(ms):; 7555; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.175;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.245;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.285;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.325;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.385;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.400;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.447;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.477;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.518;Find_Element Execution_Time(ms):; 11; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.558;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.608;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.638;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.668;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.698;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.728;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.768;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.820;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.825;Click Execution_Time(ms):; 122; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.847;Find_Element Execution_Time(ms):; 18; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.858;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.909;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.950;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.954;Click Execution_Time(ms):; 102; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.965;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:28.977;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.006;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.036;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.067;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.097;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.127;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.157;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.187;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.217;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.247;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.297;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.327;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.367;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.387;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 80; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.398;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.453;Wait_For_Page_Update Execution_Time(ms):; 3; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.458;Click Execution_Time(ms):; 186; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.473;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.502;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.542;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:17:29.591;Wait_For_Page_Update Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
12:17:29.596;Click Execution_Time(ms):; 117; Page_URL:; http://localhost:8081/#!/login;
12:17:30.602;Driver_Quit Execution_Time(ms):; 1003; Page_URL:; ;
