13:47:50.420;Open_Page Execution_Time(ms):; 1484; Page_URL:; http://localhost:8081/#!/login;
13:47:50.445;Wait_For_Page_Update Execution_Time(ms):; 11; Page_URL:; http://localhost:8081/#!/login;
13:47:50.489;Find_Element Execution_Time(ms):; 32; Page_URL:; http://localhost:8081/#!/login;
13:47:50.529;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:47:50.555;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:47:50.611;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
13:47:50.615;Send_Keys Execution_Time(ms):; 181; Page_URL:; http://localhost:8081/#!/login;
13:47:50.626;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
13:47:50.667;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
13:47:50.707;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:47:50.731;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:47:50.785;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
13:47:50.789;Send_Keys Execution_Time(ms):; 170; Page_URL:; http://localhost:8081/#!/login;
13:47:50.797;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
13:47:50.838;Find_Element Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/login;
13:47:50.878;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:47:50.898;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 91; Page_URL:; http://localhost:8081/#!/login;
13:47:50.918;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:47:51.063;Wait_For_Page_Update Execution_Time(ms):; 85; Page_URL:; http://localhost:8081/#!/dashboard;
13:47:51.067;Click Execution_Time(ms):; 273; Page_URL:; http://localhost:8081/#!/dashboard;
13:47:51.549;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:47:51.579;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:47:52.129;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:47:52.682;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:47:53.232;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
