19:28:19.311;Open_Page Execution_Time(ms):; 1679; Page_URL:; http://localhost:8081/#!/login;
19:28:19.345;Wait_For_Page_Update Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
19:28:19.367;Find_Element Execution_Time(ms):; 15; Page_URL:; http://localhost:8081/#!/login;
19:28:19.391;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
19:28:19.422;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
19:28:19.475;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:28:19.479;Send_Keys Execution_Time(ms):; 147; Page_URL:; http://localhost:8081/#!/login;
19:28:19.487;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
19:28:19.504;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
19:28:19.528;Find_Element Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
19:28:19.561;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
19:28:19.619;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
19:28:19.625;Send_Keys Execution_Time(ms):; 141; Page_URL:; http://localhost:8081/#!/login;
19:28:19.634;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:28:19.650;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
19:28:19.671;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:28:19.684;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 46; Page_URL:; http://localhost:8081/#!/login;
19:28:19.693;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:28:19.866;Wait_For_Page_Update Execution_Time(ms):; 127; Page_URL:; http://localhost:8081/#!/dashboard;
19:28:19.873;Click Execution_Time(ms):; 241; Page_URL:; http://localhost:8081/#!/dashboard;
