13:36:53.207;Open_Page Execution_Time(ms):; 1774; Page_URL:; http://localhost:8081/#!/login;
13:36:53.257;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:36:53.287;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:36:53.328;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:36:53.353;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:36:53.410;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
13:36:53.415;Send_Keys Execution_Time(ms):; 183; Page_URL:; http://localhost:8081/#!/login;
13:36:53.423;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
13:36:53.460;Find_Element Execution_Time(ms):; 14; Page_URL:; http://localhost:8081/#!/login;
13:36:53.502;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/login;
13:36:53.527;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:36:53.567;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
13:36:53.571;Send_Keys Execution_Time(ms):; 153; Page_URL:; http://localhost:8081/#!/login;
13:36:53.582;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
13:36:53.599;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
13:36:53.648;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:36:53.668;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 76; Page_URL:; http://localhost:8081/#!/login;
13:36:53.688;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:36:53.834;Wait_For_Page_Update Execution_Time(ms):; 83; Page_URL:; http://localhost:8081/#!/dashboard;
13:36:53.839;Click Execution_Time(ms):; 263; Page_URL:; http://localhost:8081/#!/dashboard;
13:36:54.311;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:36:54.351;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:36:54.905;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:36:55.453;Find_Element Execution_Time(ms):; 35; Page_URL:; http://localhost:8081/#!/dashboard;
