18:26:43.682;Open_Page Execution_Time(ms):; 1626; Page_URL:; http://localhost:8081/#!/login;
18:26:43.736;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
18:26:43.766;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
18:26:43.806;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:26:43.831;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
18:26:43.886;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
18:26:43.890;Send_Keys Execution_Time(ms):; 180; Page_URL:; http://localhost:8081/#!/login;
18:26:43.900;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
18:26:43.927;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
18:26:43.977;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:26:44.004;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
18:26:44.050;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
18:26:44.055;Send_Keys Execution_Time(ms):; 159; Page_URL:; http://localhost:8081/#!/login;
18:26:44.065;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
18:26:44.081;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
18:26:44.133;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
18:26:44.153;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 78; Page_URL:; http://localhost:8081/#!/login;
18:26:44.173;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:26:44.314;Wait_For_Page_Update Execution_Time(ms):; 97; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:44.317;Click Execution_Time(ms):; 259; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:44.838;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:44.868;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:45.408;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:45.959;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:46.481;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:47.006;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:47.536;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:48.058;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:48.600;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:49.151;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:49.718;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:50.268;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:50.822;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:51.372;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:51.921;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:51.961;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:51.971;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7123; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:52.351;Click Execution_Time(ms):; 7533; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.192;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.262;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.292;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.332;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.352;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 80; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.372;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.421;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.425;Click Execution_Time(ms):; 189; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.448;Find_Element Execution_Time(ms):; 16; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.469;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.496;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 24; Page_URL:; http://localhost:8081/#!/dashboard;
18:26:53.552;Wait_For_Page_Update Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
18:26:53.555;Click Execution_Time(ms):; 104; Page_URL:; http://localhost:8081/#!/login;
18:26:54.649;Driver_Quit Execution_Time(ms):; 1091; Page_URL:; ;
