20:59:53.035;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; data:,;
20:59:53.075;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:53.598;Find_Element Execution_Time(ms):; 10; Page_URL:; data:,;
20:59:54.158;Find_Element Execution_Time(ms):; 40; Page_URL:; data:,;
20:59:54.698;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:55.226;Find_Element Execution_Time(ms):; 11; Page_URL:; data:,;
20:59:55.803;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:56.352;Find_Element Execution_Time(ms):; 31; Page_URL:; data:,;
20:59:56.914;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:57.454;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:58.004;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:58.546;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:59.096;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
20:59:59.654;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:00.194;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:00.215;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:00.670;get_Text Execution_Time(ms):; 7655; Page_URL:; data:,;
21:00:00.830;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:00.850;Find_Element Execution_Time(ms):; 10; Page_URL:; data:,;
21:00:01.401;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:01.943;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:02.506;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:03.050;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:03.605;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:04.155;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:04.706;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:05.254;Find_Element Execution_Time(ms):; 18; Page_URL:; data:,;
21:00:05.809;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:06.367;Find_Element Execution_Time(ms):; 40; Page_URL:; data:,;
21:00:06.917;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:07.456;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:08.013;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:08.063;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
21:00:08.430;get_Text Execution_Time(ms):; 7620; Page_URL:; data:,;
21:00:08.560;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:08.590;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:08.620;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:08.650;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:08.680;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
21:00:18.337;Open_Page Execution_Time(ms):; 1607; Page_URL:; http://localhost:8081/#!/login;
