19:30:12.654;Open_Page Execution_Time(ms):; 2129; Page_URL:; http://localhost:8081/#!/login;
19:30:12.688;Wait_For_Page_Update Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
19:30:12.709;Find_Element Execution_Time(ms):; 15; Page_URL:; http://localhost:8081/#!/login;
19:30:12.732;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:30:12.762;Find_Element Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
19:30:12.813;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
19:30:12.816;Send_Keys Execution_Time(ms):; 142; Page_URL:; http://localhost:8081/#!/login;
19:30:12.824;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
19:30:12.840;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
19:30:12.861;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:30:12.897;Find_Element Execution_Time(ms):; 9; Page_URL:; http://localhost:8081/#!/login;
19:30:12.946;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
19:30:12.950;Send_Keys Execution_Time(ms):; 130; Page_URL:; http://localhost:8081/#!/login;
19:30:12.959;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
19:30:12.979;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
19:30:13.001;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:30:13.012;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 49; Page_URL:; http://localhost:8081/#!/login;
19:30:13.022;Find_Element Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
19:30:13.165;Wait_For_Page_Update Execution_Time(ms):; 84; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:13.170;Click Execution_Time(ms):; 215; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:13.643;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:13.659;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:14.198;Find_Element Execution_Time(ms):; 28; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:14.742;Find_Element Execution_Time(ms):; 28; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:15.256;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:15.789;Find_Element Execution_Time(ms):; 25; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:16.327;Find_Element Execution_Time(ms):; 26; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:16.859;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:17.395;Find_Element Execution_Time(ms):; 23; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:17.928;Find_Element Execution_Time(ms):; 22; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:18.465;Find_Element Execution_Time(ms):; 25; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:19.000;Find_Element Execution_Time(ms):; 22; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:19.539;Find_Element Execution_Time(ms):; 25; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:20.075;Find_Element Execution_Time(ms):; 26; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:20.590;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:21.140;Find_Element Execution_Time(ms):; 36; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:21.169;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:21.178;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7527; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:21.528;Click Execution_Time(ms):; 7892; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.296;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.345;Find_Element Execution_Time(ms):; 15; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.373;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.389;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.413;Find_Element Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.425;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 48; Page_URL:; http://localhost:8081/#!/dashboard;
19:30:22.435;Find_Element Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
