14:16:39.444;Open_Page Execution_Time(ms):; 2162; Page_URL:; http://10.66.131.170:1441/;
14:16:39.496;Wait_For_Page_Update Execution_Time(ms):; 11; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.526;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.557;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.589;Find_Element Execution_Time(ms):; 8; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.647;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.652;Send_Keys Execution_Time(ms):; 184; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.664;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.703;Find_Element Execution_Time(ms):; 28; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.743;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.767;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.818;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.821;Send_Keys Execution_Time(ms):; 163; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.828;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.860;Find_Element Execution_Time(ms):; 22; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.901;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.921;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 83; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.941;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.989;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:39.993;Click Execution_Time(ms):; 168; Page_URL:; http://10.66.131.170:1441/#!/login;
14:16:40.360;Wait_For_Page_Update Execution_Time(ms):; 13; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:40.382;Find_Element Execution_Time(ms):; 17; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:40.947;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:41.517;Find_Element Execution_Time(ms):; 33; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:42.067;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:42.621;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:43.173;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:43.724;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:44.264;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:44.805;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:45.365;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:45.917;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:46.454;Find_Element Execution_Time(ms):; 25; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:47.006;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:47.552;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:47.592;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:47.612;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7232; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:47.991;Click Execution_Time(ms):; 7640; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:48.839;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:48.909;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:48.959;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:48.999;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.039;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.089;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.139;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.179;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.209;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.239;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.279;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
14:16:49.334;Wait_For_Page_Update Execution_Time(ms):; 9; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
