19:22:33.743;Wait_For_Page_Update Execution_Time(ms):; 31; Page_URL:; data:,;
19:22:33.772;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:22:34.288;Find_Element Execution_Time(ms):; 10; Page_URL:; data:,;
19:22:34.824;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:22:35.351;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
19:22:35.880;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
19:22:36.414;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:22:36.957;Find_Element Execution_Time(ms):; 31; Page_URL:; data:,;
19:22:37.494;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:22:38.009;Find_Element Execution_Time(ms):; 10; Page_URL:; data:,;
19:22:38.544;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:22:39.087;Find_Element Execution_Time(ms):; 30; Page_URL:; data:,;
19:22:39.623;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:22:40.159;Find_Element Execution_Time(ms):; 23; Page_URL:; data:,;
19:22:40.698;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:41.237;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:41.274;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:22:41.689;Send_Keys Execution_Time(ms):; 7979; Page_URL:; data:,;
19:22:41.697;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; data:,;
19:22:41.714;Find_Element Execution_Time(ms):; 13; Page_URL:; data:,;
19:22:42.254;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:42.797;Find_Element Execution_Time(ms):; 29; Page_URL:; data:,;
19:22:43.324;Find_Element Execution_Time(ms):; 21; Page_URL:; data:,;
19:22:43.854;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
19:22:44.381;Find_Element Execution_Time(ms):; 20; Page_URL:; data:,;
19:22:44.927;Find_Element Execution_Time(ms):; 31; Page_URL:; data:,;
19:22:45.462;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:22:45.975;Find_Element Execution_Time(ms):; 8; Page_URL:; data:,;
19:22:46.511;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:47.045;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:22:47.582;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:48.119;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:48.632;Find_Element Execution_Time(ms):; 8; Page_URL:; data:,;
19:22:49.159;Find_Element Execution_Time(ms):; 19; Page_URL:; data:,;
19:22:49.184;Find_Element Execution_Time(ms):; 16; Page_URL:; data:,;
19:22:49.533;Send_Keys Execution_Time(ms):; 7840; Page_URL:; data:,;
19:22:49.542;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; data:,;
19:22:49.560;Find_Element Execution_Time(ms):; 14; Page_URL:; data:,;
19:22:50.087;Find_Element Execution_Time(ms):; 15; Page_URL:; data:,;
19:22:50.620;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:22:51.157;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:22:51.697;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:52.245;Find_Element Execution_Time(ms):; 28; Page_URL:; data:,;
19:22:52.781;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:22:53.321;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:53.863;Find_Element Execution_Time(ms):; 28; Page_URL:; data:,;
19:22:54.400;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:22:54.937;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:22:55.479;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:55.994;Find_Element Execution_Time(ms):; 10; Page_URL:; data:,;
19:22:56.527;Find_Element Execution_Time(ms):; 21; Page_URL:; data:,;
19:22:57.064;Find_Element Execution_Time(ms):; 27; Page_URL:; data:,;
19:22:57.096;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:22:57.107;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7555; Page_URL:; data:,;
19:22:57.444;Click Execution_Time(ms):; 7907; Page_URL:; data:,;
19:22:57.777;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; data:,;
19:22:57.789;Find_Element Execution_Time(ms):; 8; Page_URL:; data:,;
19:22:58.301;Find_Element Execution_Time(ms):; 8; Page_URL:; data:,;
19:22:58.837;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:22:59.361;Find_Element Execution_Time(ms):; 16; Page_URL:; data:,;
19:22:59.891;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:23:00.431;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:23:00.975;Find_Element Execution_Time(ms):; 27; Page_URL:; data:,;
19:23:01.487;Find_Element Execution_Time(ms):; 7; Page_URL:; data:,;
19:23:02.021;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:23:02.560;Find_Element Execution_Time(ms):; 25; Page_URL:; data:,;
19:23:03.100;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:23:03.640;Find_Element Execution_Time(ms):; 27; Page_URL:; data:,;
19:23:04.176;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:23:04.716;Find_Element Execution_Time(ms):; 27; Page_URL:; data:,;
19:23:05.254;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:23:05.286;Find_Element Execution_Time(ms):; 21; Page_URL:; data:,;
19:23:05.297;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7510; Page_URL:; data:,;
19:23:05.636;Click Execution_Time(ms):; 7864; Page_URL:; data:,;
19:23:06.389;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; data:,;
19:23:06.407;Find_Element Execution_Time(ms):; 15; Page_URL:; data:,;
19:23:06.942;Find_Element Execution_Time(ms):; 24; Page_URL:; data:,;
19:23:07.481;Find_Element Execution_Time(ms):; 26; Page_URL:; data:,;
19:23:08.000;Find_Element Execution_Time(ms):; 13; Page_URL:; data:,;
19:23:08.531;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:23:09.042;Find_Element Execution_Time(ms):; 8; Page_URL:; data:,;
19:23:09.569;Find_Element Execution_Time(ms):; 21; Page_URL:; data:,;
19:23:10.098;Find_Element Execution_Time(ms):; 21; Page_URL:; data:,;
19:23:10.644;Find_Element Execution_Time(ms):; 32; Page_URL:; data:,;
19:23:11.176;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:23:11.702;Find_Element Execution_Time(ms):; 19; Page_URL:; data:,;
19:23:12.233;Find_Element Execution_Time(ms):; 22; Page_URL:; data:,;
19:23:12.774;Find_Element Execution_Time(ms):; 27; Page_URL:; data:,;
19:23:13.287;Find_Element Execution_Time(ms):; 9; Page_URL:; data:,;
19:23:13.824;Find_Element Execution_Time(ms):; 27; Page_URL:; data:,;
19:23:13.842;Find_Element Execution_Time(ms):; 11; Page_URL:; data:,;
19:23:13.847;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7453; Page_URL:; data:,;
19:23:14.177;Click Execution_Time(ms):; 7806; Page_URL:; data:,;
19:23:14.193;Find_Element Execution_Time(ms):; 12; Page_URL:; data:,;
