12:02:15.366;Open_Page Execution_Time(ms):; 1550; Page_URL:; http://localhost:8081/#!/login;
12:02:15.411;Wait_For_Page_Update Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/login;
12:02:15.452;Find_Element Execution_Time(ms):; 29; Page_URL:; http://localhost:8081/#!/login;
12:02:15.492;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:02:15.514;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
12:02:15.568;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
12:02:15.573;Send_Keys Execution_Time(ms):; 183; Page_URL:; http://localhost:8081/#!/login;
12:02:15.583;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
12:02:15.618;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
12:02:15.658;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:02:15.685;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
12:02:15.727;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
12:02:15.731;Send_Keys Execution_Time(ms):; 155; Page_URL:; http://localhost:8081/#!/login;
12:02:15.744;Wait_For_Page_Update Execution_Time(ms):; 9; Page_URL:; http://localhost:8081/#!/login;
12:02:15.760;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
12:02:15.806;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:02:15.836;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 82; Page_URL:; http://localhost:8081/#!/login;
12:02:15.856;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
12:02:16.004;Wait_For_Page_Update Execution_Time(ms):; 91; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:16.008;Click Execution_Time(ms):; 273; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:16.525;Wait_For_Page_Update Execution_Time(ms):; 2; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:16.555;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:17.085;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:17.644;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:18.194;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:18.738;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:19.288;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:19.835;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:20.404;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:20.960;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:21.482;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:22.046;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:22.593;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:23.143;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:23.698;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:23.758;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:23.778;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7233; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:24.135;Click Execution_Time(ms):; 7629; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:24.971;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.041;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.081;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.111;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.151;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.181;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.221;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.251;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.291;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
12:02:25.331;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
