20:30:10.872;Open_Page Execution_Time(ms):; 2022; Page_URL:; http://localhost:8081/#!/login;
20:30:10.932;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
20:30:10.962;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
20:30:11.002;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:30:11.029;Find_Element Execution_Time(ms):; 2; Page_URL:; http://localhost:8081/#!/login;
20:30:11.084;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
20:30:11.088;Send_Keys Execution_Time(ms):; 192; Page_URL:; http://localhost:8081/#!/login;
20:30:11.099;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
20:30:11.119;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
20:30:11.171;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:30:11.195;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
20:30:11.243;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
20:30:11.246;Send_Keys Execution_Time(ms):; 155; Page_URL:; http://localhost:8081/#!/login;
20:30:11.256;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
20:30:11.302;Find_Element Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/login;
20:30:11.342;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
20:30:11.358;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 97; Page_URL:; http://localhost:8081/#!/login;
20:30:11.395;Find_Element Execution_Time(ms):; 27; Page_URL:; http://localhost:8081/#!/login;
20:30:11.546;Wait_For_Page_Update Execution_Time(ms):; 84; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:11.551;Click Execution_Time(ms):; 300; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:12.055;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:12.085;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:12.651;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:13.213;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:13.754;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:14.296;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:14.850;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:15.393;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:15.964;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:16.483;Find_Element Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:17.018;Find_Element Execution_Time(ms):; 27; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:17.541;Find_Element Execution_Time(ms):; 15; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:18.118;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:18.691;Find_Element Execution_Time(ms):; 60; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:19.265;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:19.315;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:19.335;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7260; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:19.723;Click Execution_Time(ms):; 7688; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.170;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.200;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.250;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.305;Wait_For_Page_Update Execution_Time(ms):; 9; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.310;Click Execution_Time(ms):; 135; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.337;Find_Element Execution_Time(ms):; 16; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.349;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
20:30:20.403;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 43; Page_URL:; http://localhost:8081/#!/dashboard;
