18:19:50.946;Open_Page Execution_Time(ms):; 1664; Page_URL:; http://localhost:8081/#!/login;
18:19:51.036;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
18:19:51.066;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
18:19:51.106;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:19:51.131;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
18:19:51.190;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
18:19:51.194;Send_Keys Execution_Time(ms):; 194; Page_URL:; http://localhost:8081/#!/login;
18:19:51.204;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
18:19:51.240;Find_Element Execution_Time(ms):; 25; Page_URL:; http://localhost:8081/#!/login;
18:19:51.280;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:19:51.304;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
18:19:51.351;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
18:19:51.355;Send_Keys Execution_Time(ms):; 157; Page_URL:; http://localhost:8081/#!/login;
18:19:51.364;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/login;
18:19:51.397;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
18:19:51.437;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:19:51.457;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 83; Page_URL:; http://localhost:8081/#!/login;
18:19:51.477;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
18:19:51.617;Wait_For_Page_Update Execution_Time(ms):; 92; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:51.621;Click Execution_Time(ms):; 262; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:52.117;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:52.147;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:52.696;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:53.248;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:53.769;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:54.309;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:54.865;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:55.416;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:55.975;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:56.508;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:57.067;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:57.594;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:58.159;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:58.726;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:59.276;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:59.336;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:59.366;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7229; Page_URL:; http://localhost:8081/#!/dashboard;
18:19:59.736;Click Execution_Time(ms):; 7639; Page_URL:; http://localhost:8081/#!/dashboard;
18:20:00.574;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
18:20:00.636;Find_Element Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/dashboard;
18:20:00.666;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
