19:27:37.814;Open_Page Execution_Time(ms):; 1725; Page_URL:; http://localhost:8081/#!/login;
19:27:37.874;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
19:27:37.904;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
19:27:37.946;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/login;
19:27:37.971;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
19:27:38.026;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:27:38.030;Send_Keys Execution_Time(ms):; 192; Page_URL:; http://localhost:8081/#!/login;
19:27:38.040;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
19:27:38.057;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
19:27:38.108;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
19:27:38.133;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
19:27:38.183;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/login;
19:27:38.186;Send_Keys Execution_Time(ms):; 153; Page_URL:; http://localhost:8081/#!/login;
19:27:38.193;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
19:27:38.214;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/login;
19:27:38.258;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
19:27:38.278;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 75; Page_URL:; http://localhost:8081/#!/login;
19:27:38.298;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
19:27:38.443;Wait_For_Page_Update Execution_Time(ms):; 94; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:38.447;Click Execution_Time(ms):; 258; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:38.964;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:38.994;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:39.552;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:40.071;Find_Element Execution_Time(ms):; 25; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:40.595;Find_Element Execution_Time(ms):; 17; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:41.107;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:41.618;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:42.157;Find_Element Execution_Time(ms):; 27; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:42.677;Find_Element Execution_Time(ms):; 14; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:43.246;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:43.804;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:44.354;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:44.894;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:45.450;Find_Element Execution_Time(ms):; 43; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:45.974;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:45.994;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:46.004;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7030; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:46.372;Click Execution_Time(ms):; 7428; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.077;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.130;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.140;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.165;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 22; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.220;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.225;Click Execution_Time(ms):; 90; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.247;Find_Element Execution_Time(ms):; 17; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.259;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.287;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 23; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.335;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.340;Click Execution_Time(ms):; 88; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.357;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.367;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.392;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.438;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.442;Click Execution_Time(ms):; 82; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.455;Find_Element Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.476;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.484;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.508;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.554;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.559;Click Execution_Time(ms):; 78; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.580;Find_Element Execution_Time(ms):; 17; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.588;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.611;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.658;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.662;Click Execution_Time(ms):; 78; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.679;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.688;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.713;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.756;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.760;Click Execution_Time(ms):; 77; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.779;Find_Element Execution_Time(ms):; 14; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.792;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.821;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 23; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.871;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.876;Click Execution_Time(ms):; 92; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.893;Find_Element Execution_Time(ms):; 13; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.899;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.935;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.978;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
19:27:47.981;Click Execution_Time(ms):; 85; Page_URL:; http://localhost:8081/#!/dashboard;
