13:53:43.834;Open_Page Execution_Time(ms):; 1791; Page_URL:; http://localhost:8081/#!/login;
13:53:43.884;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/login;
13:53:43.914;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:53:43.956;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:53:43.981;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:53:44.038;Wait_For_Page_Update Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/login;
13:53:44.044;Send_Keys Execution_Time(ms):; 195; Page_URL:; http://localhost:8081/#!/login;
13:53:44.059;Wait_For_Page_Update Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
13:53:44.083;Find_Element Execution_Time(ms):; 18; Page_URL:; http://localhost:8081/#!/login;
13:53:44.126;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:53:44.150;Find_Element Execution_Time(ms):; 1; Page_URL:; http://localhost:8081/#!/login;
13:53:44.197;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/login;
13:53:44.200;Send_Keys Execution_Time(ms):; 153; Page_URL:; http://localhost:8081/#!/login;
13:53:44.207;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://localhost:8081/#!/login;
13:53:44.242;Find_Element Execution_Time(ms):; 12; Page_URL:; http://localhost:8081/#!/login;
13:53:44.292;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/login;
13:53:44.312;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 95; Page_URL:; http://localhost:8081/#!/login;
13:53:44.323;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/login;
13:53:44.522;Wait_For_Page_Update Execution_Time(ms):; 137; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:44.534;Click Execution_Time(ms):; 322; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:45.003;Wait_For_Page_Update Execution_Time(ms):; 11; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:45.035;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:45.581;Find_Element Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:46.121;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:46.658;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:47.189;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:47.738;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:48.258;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:48.815;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:49.365;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:49.921;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:50.457;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:51.012;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:51.557;Find_Element Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:52.121;Find_Element Execution_Time(ms):; 21; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:52.151;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:52.161;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 7148; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:52.508;Click Execution_Time(ms):; 7509; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.300;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.370;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.417;Find_Element Execution_Time(ms):; 15; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.467;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.507;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.547;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.597;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.637;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.667;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.697;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.737;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.792;Wait_For_Page_Update Execution_Time(ms):; 9; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.797;Click Execution_Time(ms):; 125; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.842;Find_Element Execution_Time(ms):; 40; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.868;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.909;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 31; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.948;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.952;Click Execution_Time(ms):; 106; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:53.964;Find_Element Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.001;Find_Element Execution_Time(ms):; 8; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.031;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.061;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.091;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.121;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.151;Find_Element Execution_Time(ms):; 10; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.191;Find_Element Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.221;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.261;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 30; Page_URL:; http://localhost:8081/#!/dashboard;
13:53:54.312;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://localhost:8081/#!/dashboard;
