13:58:59.318;Wait_For_Page_Update Execution_Time(ms):; 3; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.322;Click Execution_Time(ms):; 116; Page_URL:; http://10.66.131.170:1441/#!/dashboard;
13:58:59.996;Open_Page Execution_Time(ms):; 670; Page_URL:; http://10.66.131.170:1441/;
13:59:00.026;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.046;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.086;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.133;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.180;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.184;Send_Keys Execution_Time(ms):; 184; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.192;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.202;Find_Element Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.243;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.268;Find_Element Execution_Time(ms):; 1; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.321;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.323;Send_Keys Execution_Time(ms):; 137; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.331;Wait_For_Page_Update Execution_Time(ms):; 4; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.340;Find_Element Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.364;Find_Element Execution_Time(ms):; 8; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.375;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 41; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.384;Find_Element Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.437;Wait_For_Page_Update Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.441;Click Execution_Time(ms):; 113; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.829;Wait_For_Page_Update Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.841;Find_Element Execution_Time(ms):; 9; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.859;Find_Element Execution_Time(ms):; 7; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.869;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 37; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:00.878;Find_Element Execution_Time(ms):; 6; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.304;Click Execution_Time(ms):; 474; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.714;Find_Elements Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.744;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.774;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.814;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.864;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.874;get_Text Execution_Time(ms):; 150; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.904;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:01.944;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.004;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.064;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.074;get_Text Execution_Time(ms):; 190; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.114;Wait_For_Page_Update Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.154;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.204;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.224;Wait_For_Element_To_Be_Clickable Execution_Time(ms):; 100; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.244;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.294;Wait_For_Page_Update Execution_Time(ms):; 5; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.299;Click Execution_Time(ms):; 220; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.782;Find_Elements Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.822;Find_Element Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.882;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.922;Find_Element Execution_Time(ms):; 30; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:02.952;Find_Element Execution_Time(ms):; 10; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:03.002;Wait_For_Page_Update Execution_Time(ms):; 20; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:03.012;get_Text Execution_Time(ms):; 150; Page_URL:; http://10.66.131.170:1441/#!/login;
13:59:03.990;Driver_Quit Execution_Time(ms):; 968; Page_URL:; ;
